date,state,count,amount,registeredUsers,date_id
2021-01-01,35,244752,783706567.3897556,57758,1096
2021-02-01,0,495867544,1027958332797.5839,18306880,1127
2021-02-01,1,10427535,24241014524.06199,1336315,1127
2021-02-01,2,9483902,16495634539.809265,1743151,1127
2021-02-01,3,32171248,69531058562.61537,5976548,1127
2021-02-01,4,4417547,8417673939.936101,448572,1127
2021-02-01,5,24000432,40990817874.83831,3004040,1127
2021-02-01,6,105680856,200357354238.68344,10530594,1127
2021-02-01,7,170157264,281941097684.5415,11182699,1127
2021-02-01,8,287477039,561702765169.2399,18980985,1127
2021-02-01,9,241949131,482172489166.3819,31651894,1127
2021-02-01,10,155603622,374580255186.57904,14972134,1127
2021-02-01,11,976714,2424899579.675297,171740,1127
2021-02-01,12,1568338,4456425616.994379,270572,1127
2021-02-01,13,1130791,3156293963.781873,223337,1127
2021-02-01,14,3086275,7889827962.396642,335409,1127
2021-02-01,15,394340,1122874473.302092,92552,1127
2021-02-01,16,1744429,3468154361.036276,472153,1127
2021-02-01,17,909594,2193617254.8906007,205686,1127
2021-02-01,18,25432905,59192473376.663895,3617056,1127
2021-02-01,19,141897437,279434811058.56366,17979979,1127
2021-02-01,20,54002145,104432643311.4578,5701503,1127
2021-02-01,21,131824337,245864117477.2731,9891029,1127
2021-02-01,22,44689420,78728771259.2258,4837055,1127
2021-02-01,23,223314680,425500768035.61475,15940935,1127
2021-02-01,24,111841396,210162054552.11618,15735981,1127
2021-02-01,25,2125083,3157668461.4189034,344994,1127
2021-02-01,27,573616486,915115055623.6941,39664697,1127
2021-02-01,28,352767134,850737499108.2378,19620905,1127
2021-02-01,29,530649046,837887151230.0474,25751023,1127
2021-02-01,30,4710135,8012853587.075999,609106,1127
2021-02-01,31,11384,27383463.65795153,4896,1127
2021-02-01,32,47191033,74226806436.15654,7416083,1127
2021-02-01,33,146158442,263487341026.54968,17804542,1127
2021-02-01,34,3751387,6498834696.543897,369961,1127
2021-02-01,35,341414,899147016.1122959,62095,1127
2021-03-01,0,622886768,1178289126292.2603,19615278,1155
2021-03-01,1,13742028,33812428391.966644,1441070,1155
2021-03-01,2,12064167,21310262071.127953,1880626,1155
2021-03-01,3,42533489,85992560840.61194,6434862,1155
2021-03-01,4,6649378,11815883004.693304,480463,1155
2021-03-01,5,31042284,50527496783.564224,3233509,1155
2021-03-01,6,140459693,240827092259.20752,11325336,1155
2021-03-01,7,238760608,383858316548.2812,11980061,1155
2021-03-01,8,400284753,710511328542.4834,20499465,1155
2021-03-01,9,306543384,557080841279.9292,34151882,1155
2021-03-01,10,187671113,397062760956.41125,16160771,1155
2021-03-01,11,1160594,2989336863.808392,184693,1155
2021-03-01,12,1906967,5678124175.298823,293073,1155
2021-03-01,13,1356792,3987416848.0054426,241797,1155
2021-03-01,14,3941396,10406861028.904852,361749,1155
2021-03-01,15,478529,1473748650.2119527,100647,1155
2021-03-01,16,2081200,4364133768.18148,509929,1155
2021-03-01,17,1097731,2769000451.527974,223065,1155
2021-03-01,18,33504441,75700499273.3074,3918480,1155
2021-03-01,19,181712988,362457066256.5122,19323278,1155
2021-03-01,20,70795702,121891015118.8527,6151843,1155
2021-03-01,21,177362674,303780718933.03253,10652490,1155
2021-03-01,22,64237938,104606108262.776,5206084,1155
2021-03-01,23,311443334,504412603851.53375,17210233,1155
2021-03-01,24,149248407,272624626113.58472,16946761,1155
2021-03-01,25,3129470,4305939102.791507,371874,1155
2021-03-01,27,792874060,1159257305167.44,42581217,1155
2021-03-01,28,432032550,984218035564.1278,21059898,1155
2021-03-01,29,753296539,1133234739157.6108,27614221,1155
2021-03-01,30,6467763,10478425592.93637,653458,1155
